,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,score_proba
30068,40,60000,RENT,3.0,EDUCATION,D,5000,15.31,0.08,Y,16,0,0.44263959011789433
5492,22,54000,RENT,4.0,EDUCATION,E,5000,16.35,0.09,Y,3,1,0.5613220599759088
24619,28,64000,RENT,1.0,HOMEIMPROVEMENT,C,10000,11.66,0.16,Y,8,0,0.25975519680357667
10880,25,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,8000,11.12,0.11,N,3,0,0.07081938757118188
20651,27,28800,RENT,6.0,EDUCATION,D,5000,14.96,0.17,Y,5,0,0.7032437456440488
27111,28,123000,OWN,7.0,PERSONAL,A,4000,8.59,0.03,N,5,0,0.003010502030014051
21281,29,46400,MORTGAGE,0.0,EDUCATION,A,12000,7.51,0.26,N,10,0,0.08447046559170054
27410,28,140000,OWN,12.0,VENTURE,D,18000,16.29,0.13,N,7,0,0.030012900591432565
30503,43,57000,MORTGAGE,0.0,EDUCATION,A,2725,,0.05,N,12,0,0.01900711352860305
25098,27,80000,MORTGAGE,4.0,MEDICAL,A,15000,6.54,0.19,N,8,0,0.04754580759501085
4371,22,24000,RENT,6.0,EDUCATION,A,4800,7.49,0.2,N,2,0,0.15504806659732315
3854,25,29000,RENT,1.0,HOMEIMPROVEMENT,D,4000,14.54,0.14,Y,3,1,0.8251005904599391
5303,25,24000,RENT,2.0,VENTURE,B,8500,9.88,0.35,N,4,1,0.5085741760364867
1564,25,31200,RENT,9.0,VENTURE,B,1500,11.12,0.05,N,2,0,0.04037441055943333
24249,27,35000,RENT,3.0,PERSONAL,A,4200,,0.12,N,5,0,0.10663670314884008
25341,30,25716,RENT,1.0,PERSONAL,C,3000,13.72,0.12,N,10,0,0.2012717228784811
3575,23,54804,RENT,4.0,EDUCATION,D,3600,16.77,0.07,Y,4,0,0.47632192883729985
19927,35,37000,OWN,1.0,EDUCATION,A,4650,6.62,0.13,N,8,0,0.0066270486160611725
15301,26,130000,MORTGAGE,7.0,VENTURE,D,6500,15.99,0.05,Y,3,0,0.14773309680974916
7412,26,54000,RENT,2.0,PERSONAL,C,6600,11.97,0.12,Y,4,0,0.1297013542243595
3141,23,36000,MORTGAGE,7.0,EDUCATION,B,11300,12.69,0.31,N,2,0,0.23064218190271563
15906,21,55438,RENT,4.0,VENTURE,C,19400,13.49,0.35,N,2,1,0.3547849595373416
31680,37,91800,MORTGAGE,0.0,MEDICAL,F,5000,19.47,0.05,Y,16,1,0.5063034213212378
4201,22,40000,MORTGAGE,1.0,EDUCATION,A,4800,5.42,0.12,N,2,0,0.02573197236928878
23376,29,62000,MORTGAGE,4.0,PERSONAL,D,3000,14.84,0.05,N,7,0,0.2745569060443826
20932,32,44500,OWN,3.0,EDUCATION,A,15000,7.51,0.34,N,5,0,0.03586036909066179
17131,25,57000,RENT,2.0,PERSONAL,A,9500,6.17,0.17,N,3,0,0.08817326132307222
31927,46,8088,RENT,15.0,MEDICAL,D,1600,14.42,0.2,Y,11,1,0.8875560764863548
8091,22,49200,MORTGAGE,6.0,MEDICAL,C,6500,12.68,0.13,Y,2,1,0.10507194418592113
337,24,133300,RENT,6.0,DEBTCONSOLIDATION,B,25000,10.37,0.19,N,2,0,0.07306915290931422
3850,22,32644,MORTGAGE,6.0,VENTURE,E,13750,16.45,0.42,Y,4,1,0.9266036685740398
25235,29,39000,OWN,10.0,PERSONAL,C,9000,12.72,0.23,Y,9,0,0.039828162999664345
22559,29,89000,RENT,2.0,PERSONAL,A,7200,,0.08,N,10,0,0.05342223786879927
11266,25,54000,RENT,2.0,PERSONAL,B,10000,11.46,0.19,N,4,0,0.17335246907771454
12672,26,84000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,2150,13.47,0.03,N,2,0,0.0671466039642647
671,25,54000,RENT,1.0,DEBTCONSOLIDATION,D,20000,14.11,0.37,N,4,1,0.9469344271201615
2932,24,120390,RENT,8.0,HOMEIMPROVEMENT,A,3000,5.79,0.02,N,4,0,0.04934249109020242
29618,38,49000,RENT,4.0,DEBTCONSOLIDATION,A,3000,7.51,0.06,N,13,0,0.08123865798702505
11249,21,72252,MORTGAGE,0.0,VENTURE,A,8000,6.99,0.11,N,2,0,0.015109525591306518
8341,24,57000,OWN,8.0,EDUCATION,A,9000,8.0,0.16,N,4,0,0.006627576231477951
9570,25,34000,RENT,4.0,VENTURE,B,8200,12.21,0.24,N,4,0,0.22770071367458705
23544,33,64000,MORTGAGE,3.0,VENTURE,A,8800,7.49,0.14,N,5,0,0.01941689221364047
27822,27,244000,OTHER,0.0,VENTURE,D,15000,14.42,0.06,Y,5,0,0.13193235296058747
23154,32,60000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,6000,7.14,0.1,N,9,0,0.03943058545387764
19777,28,54263,RENT,0.0,HOMEIMPROVEMENT,C,3500,11.66,0.06,N,5,0,0.16198174344268249
23637,32,38482,RENT,6.0,MEDICAL,D,9000,15.31,0.23,Y,7,1,0.8758472522817874
12391,23,40100,RENT,7.0,MEDICAL,B,12000,9.91,0.3,N,2,0,0.47932489309081894
23217,30,54000,MORTGAGE,3.0,MEDICAL,D,15250,14.42,0.28,Y,8,1,0.7564594876096478
24828,29,76596,MORTGAGE,14.0,HOMEIMPROVEMENT,C,17600,13.16,0.23,N,7,0,0.14525889697116512
5746,25,46000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,8600,,0.19,N,2,0,0.20258162148850087
18849,35,30000,RENT,5.0,MEDICAL,A,1500,7.29,0.05,N,8,1,0.06630376663584743
21457,27,58000,RENT,5.0,DEBTCONSOLIDATION,A,5900,9.32,0.1,N,7,0,0.1142277954796922
31954,40,15864,RENT,,DEBTCONSOLIDATION,B,2375,11.11,0.15,N,12,0,0.3117484977420226
15215,22,24000,OWN,0.0,MEDICAL,C,5000,13.35,0.21,N,4,0,0.0860423010522231
5268,22,45000,MORTGAGE,5.0,MEDICAL,B,6500,10.65,0.14,N,4,0,0.08851246602569422
25446,27,72000,RENT,11.0,EDUCATION,A,12000,6.62,0.17,N,8,0,0.05123466861231088
4990,25,43000,RENT,6.0,PERSONAL,A,5000,7.51,0.12,N,3,0,0.07630447684563002
14944,25,120000,MORTGAGE,9.0,PERSONAL,C,21000,13.49,0.17,N,4,0,0.031011307130222827
15966,23,21600,OWN,0.0,VENTURE,B,4400,12.53,0.2,N,3,0,0.024648848327984422
17801,25,52000,MORTGAGE,8.0,EDUCATION,C,3900,,0.07,Y,4,0,0.029032526986595288
30066,41,60000,RENT,6.0,PERSONAL,A,5000,5.42,0.08,N,17,0,0.04020174239223403
5538,25,45000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,2700,,0.06,Y,4,0,0.07362436050697889
5170,23,72000,RENT,2.0,VENTURE,C,9000,13.47,0.13,N,3,0,0.0871973556973655
24213,27,54400,MORTGAGE,11.0,MEDICAL,D,11000,15.33,0.17,Y,10,1,0.5280522941683612
7764,21,29000,RENT,5.0,MEDICAL,D,7000,12.61,0.24,Y,2,1,0.8935688591983606
2574,23,32400,RENT,6.0,VENTURE,B,3000,10.0,0.09,N,2,0,0.05557921425910953
28823,31,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4800,6.03,0.1,N,7,0,0.045056809664133175
8497,24,33000,RENT,2.0,VENTURE,F,7750,,0.23,N,2,1,0.7852808992137768
264,24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0.12,N,3,0,0.0020135684774318344
16205,22,52320,MORTGAGE,6.0,EDUCATION,D,15000,12.86,0.29,N,2,0,0.6195596594083296
14601,26,45600,RENT,5.0,VENTURE,A,2000,,0.04,N,3,0,0.030301979357567992
22121,30,52000,MORTGAGE,3.0,EDUCATION,C,5750,13.79,0.11,N,10,0,0.053761132773324054
15990,22,53808,MORTGAGE,5.0,VENTURE,A,6000,8.9,0.11,N,2,0,0.01939292338587404
3881,22,38400,RENT,4.0,EDUCATION,C,4000,12.99,0.1,N,2,0,0.1119408758486503
26120,30,96000,MORTGAGE,7.0,PERSONAL,B,6000,11.49,0.06,N,6,0,0.02417846303900795
19182,29,90050,RENT,3.0,HOMEIMPROVEMENT,C,2400,13.49,0.03,Y,9,0,0.14027293726183931
17097,21,140000,MORTGAGE,2.0,EDUCATION,A,18000,7.9,0.13,N,4,0,0.010134436073398978
18642,29,75000,RENT,0.0,PERSONAL,C,17200,14.27,0.23,Y,8,0,0.2055620998371042
29178,40,201400,RENT,2.0,EDUCATION,C,12450,12.23,0.06,N,15,0,0.034499102953768915
7176,24,78300,RENT,2.0,VENTURE,A,7000,6.03,0.09,N,3,0,0.026400708692876137
8945,23,44000,RENT,5.0,EDUCATION,C,8000,13.49,0.18,Y,2,1,0.18915503461891167
24357,31,72000,OWN,6.0,EDUCATION,A,16000,,0.22,N,7,0,0.008910117059785005
18520,27,23652,MORTGAGE,9.0,PERSONAL,A,2000,7.49,0.08,N,8,0,0.026847831101209297
32007,40,63996,MORTGAGE,8.0,EDUCATION,B,12000,10.25,0.19,N,12,0,0.04529016929183039
17337,24,42000,OWN,8.0,HOMEIMPROVEMENT,A,8000,6.62,0.19,N,2,0,0.02411002330460862
7979,23,55000,MORTGAGE,7.0,VENTURE,C,7000,13.23,0.13,Y,2,0,0.04249022618891911
31741,36,65000,RENT,7.0,MEDICAL,B,15000,10.59,0.23,N,17,0,0.22391584690193536
16595,24,75000,RENT,2.0,VENTURE,B,2000,9.99,0.03,N,4,0,0.03221193879060402
6570,26,50000,OWN,10.0,PERSONAL,A,7500,5.99,0.15,N,2,0,0.007205927113233808
30851,37,25000,RENT,5.0,MEDICAL,D,10000,16.29,0.4,N,11,1,0.9849298350509266
22738,28,75000,RENT,3.0,EDUCATION,B,7500,,0.1,N,6,0,0.05938706430232979
30900,48,70000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,21600,7.51,0.31,N,11,0,0.13360349255668844
18265,29,40000,RENT,2.0,DEBTCONSOLIDATION,B,23500,11.12,0.59,N,8,1,0.9454527203082668
1767,24,17616,RENT,,VENTURE,B,2000,10.37,0.11,N,2,0,0.08062014142721273
4699,23,42000,MORTGAGE,7.0,PERSONAL,C,12000,15.23,0.29,Y,3,0,0.2886402934729551
23971,35,62000,MORTGAGE,15.0,DEBTCONSOLIDATION,D,10000,15.33,0.16,N,10,1,0.5592529574493624
8234,21,29004,RENT,0.0,MEDICAL,D,7500,,0.26,Y,2,1,0.9078062624468388
31446,40,110000,RENT,6.0,HOMEIMPROVEMENT,B,13000,9.91,0.12,N,17,0,0.09693171561527031
18208,29,160000,MORTGAGE,8.0,EDUCATION,A,7000,,0.04,N,8,0,0.011503160319372168
26557,33,105000,MORTGAGE,6.0,PERSONAL,C,5150,12.41,0.05,Y,9,0,0.030364620852641692
14519,25,109000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,16000,6.03,0.15,N,2,0,0.03002378390539581
24688,29,75000,MORTGAGE,3.0,PERSONAL,B,4000,10.75,0.05,N,9,0,0.025748008834347153
1208,26,47000,RENT,5.0,PERSONAL,B,16250,12.42,0.35,N,4,1,0.47416353811385187
25635,35,93000,RENT,0.0,EDUCATION,B,12000,9.99,0.13,N,5,0,0.05306398804167504
14564,23,42870,RENT,7.0,MEDICAL,A,2000,5.42,0.05,N,3,0,0.05668714859919823
1355,22,26000,MORTGAGE,3.0,PERSONAL,B,500,10.46,0.02,N,4,0,0.02339153886405655
11194,25,72000,MORTGAGE,9.0,EDUCATION,A,3200,6.39,0.04,N,3,0,0.01076589973619486
18293,29,19200,OWN,7.0,VENTURE,A,6000,,0.31,N,5,1,0.05682474241075552
4797,26,33280,RENT,11.0,DEBTCONSOLIDATION,D,5000,14.11,0.15,N,4,1,0.802910402974291
22861,35,21340,RENT,0.0,MEDICAL,B,8000,11.14,0.37,N,6,1,0.7994141039618184
2457,25,36800,RENT,1.0,MEDICAL,C,2875,11.28,0.08,Y,4,0,0.16137172971096503
665,24,20400,MORTGAGE,5.0,DEBTCONSOLIDATION,B,5500,10.99,0.27,N,4,0,0.4140599301072418
24821,27,90000,RENT,4.0,HOMEIMPROVEMENT,A,10000,7.49,0.11,N,10,0,0.08553915818373711
16170,25,120000,RENT,1.0,HOMEIMPROVEMENT,A,12000,,0.1,N,3,0,0.08427559702014423
22663,33,38604,RENT,0.0,VENTURE,D,7500,,0.19,N,5,1,0.606115110929763
25087,27,80000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,3000,11.11,0.04,N,7,0,0.04781260534149852
18363,28,56000,RENT,7.0,EDUCATION,F,20000,18.25,0.36,N,6,1,0.9209377523895742
15680,25,153600,MORTGAGE,1.0,DEBTCONSOLIDATION,A,18000,6.99,0.12,N,2,0,0.02020299148552454
22776,30,58000,MORTGAGE,14.0,DEBTCONSOLIDATION,B,5350,9.99,0.09,N,9,0,0.05464180462647356
15056,26,120000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,16000,8.94,0.13,N,2,0,0.02743095107900273
6003,22,48000,MORTGAGE,0.0,MEDICAL,A,5000,6.03,0.1,N,4,0,0.041378043531562464
27024,32,120000,MORTGAGE,9.0,VENTURE,A,8000,7.51,0.07,N,7,0,0.008550611216116845
18984,30,120000,RENT,14.0,MEDICAL,A,15000,6.17,0.13,N,8,0,0.04384893193702703
12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,0.37,N,2,1,0.061816750737106775
19178,34,70000,RENT,19.0,MEDICAL,B,2400,11.99,0.03,N,7,0,0.06800829933029197
14179,23,100080,MORTGAGE,7.0,PERSONAL,B,20600,12.53,0.21,N,4,0,0.0406121859840967
26298,29,100000,MORTGAGE,5.0,PERSONAL,A,10000,7.49,0.1,N,6,0,0.0175023761424861
17880,30,11440,OWN,3.0,MEDICAL,C,1750,12.73,0.15,Y,5,0,0.048303872468388596
28262,32,33600,OWN,0.0,VENTURE,D,8000,16.02,0.24,N,8,0,0.2712432327663866
7437,25,34000,RENT,0.0,VENTURE,A,6650,8.9,0.2,N,3,0,0.12441544411956283
19589,27,51850,RENT,2.0,MEDICAL,D,3000,14.96,0.05,Y,7,1,0.5717601493660235
9777,26,58000,MORTGAGE,1.0,MEDICAL,D,25000,13.55,0.43,Y,4,1,0.8858506045197317
26208,29,32000,OWN,1.0,HOMEIMPROVEMENT,A,2100,6.91,0.07,N,5,0,0.010330440036947412
4544,22,23000,RENT,6.0,VENTURE,C,4850,14.27,0.21,Y,4,0,0.2778367979874038
24260,28,70254,OWN,12.0,VENTURE,A,3500,6.62,0.05,N,9,0,0.0018970695273775131
25428,27,85000,MORTGAGE,12.0,VENTURE,A,3800,6.03,0.04,N,6,0,0.00750973506271309
12529,24,76000,MORTGAGE,9.0,DEBTCONSOLIDATION,D,7000,12.92,0.09,N,3,1,0.3970702327366013
7118,22,65000,RENT,7.0,EDUCATION,D,7000,15.99,0.11,N,3,0,0.5071557221352492
20466,28,40000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,10000,11.26,0.25,N,6,0,0.2466731842237681
29623,47,33888,MORTGAGE,5.0,PERSONAL,A,7000,7.49,0.21,N,13,0,0.08264847702956896
29541,37,14000,RENT,0.0,DEBTCONSOLIDATION,B,2400,,0.17,N,11,1,0.38237463460818816
15685,25,154000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,10.99,0.08,N,3,0,0.031974859724038976
26686,28,110000,MORTGAGE,3.0,VENTURE,A,11000,5.79,0.1,N,7,0,0.008864407600680151
25318,33,24000,RENT,2.0,MEDICAL,A,3000,6.62,0.13,N,9,0,0.14707111654290708
7869,22,55000,MORTGAGE,6.0,MEDICAL,A,9500,7.49,0.17,N,3,0,0.06500191470017311
3937,25,45600,RENT,2.0,MEDICAL,A,4000,6.54,0.09,N,3,0,0.08699056020189515
27739,30,180000,MORTGAGE,13.0,PERSONAL,B,28000,10.65,0.16,N,6,0,0.008714279053331362
15683,25,154000,MORTGAGE,1.0,EDUCATION,B,21600,10.37,0.14,N,3,0,0.011454313191669308
20567,29,100000,RENT,4.0,VENTURE,A,10000,9.63,0.1,N,9,0,0.02850077602170271
26271,31,100000,MORTGAGE,5.0,EDUCATION,B,5000,12.69,0.05,N,7,0,0.02063983096204999
31796,36,145000,MORTGAGE,4.0,PERSONAL,B,5000,9.62,0.03,N,16,0,0.017770203843218587
27830,29,250000,MORTGAGE,13.0,EDUCATION,C,20000,13.79,0.08,N,8,0,0.009585253262600967
26428,27,101004,MORTGAGE,2.0,MEDICAL,A,11025,7.9,0.11,N,5,0,0.029812754715337345
4772,26,32000,RENT,3.0,VENTURE,A,5000,6.03,0.16,N,2,0,0.07148782938800602
4103,24,40000,MORTGAGE,6.0,VENTURE,B,10000,9.91,0.25,N,3,0,0.09173809206665602
13426,23,91092,MORTGAGE,2.0,PERSONAL,C,10000,13.43,0.11,N,2,0,0.04670862859890276
20036,31,38000,OWN,5.0,VENTURE,B,14000,9.91,0.37,N,5,0,0.061674522246723255
12124,24,80000,MORTGAGE,8.0,EDUCATION,A,10000,8.9,0.13,N,4,0,0.021051054052228787
5743,24,26000,RENT,1.0,MEDICAL,C,5375,13.47,0.21,Y,4,0,0.4864896785673849
14470,23,34884,RENT,3.0,EDUCATION,A,2000,6.92,0.06,N,2,0,0.03808532859471004
687,23,65000,RENT,0.0,MEDICAL,B,20000,10.65,0.31,N,3,1,0.3525497916061111
29885,36,40000,OWN,0.0,PERSONAL,A,5000,8.0,0.13,N,16,0,0.009443775204342962
8914,23,48000,RENT,5.0,VENTURE,B,8000,,0.17,N,2,0,0.09958444539555705
28948,32,115000,RENT,2.0,PERSONAL,B,4000,12.69,0.03,N,8,0,0.05337240101364539
6532,24,46151,RENT,2.0,DEBTCONSOLIDATION,B,6000,10.59,0.13,N,4,0,0.20321252057183925
11303,22,49000,RENT,6.0,PERSONAL,E,10000,16.45,0.2,N,2,1,0.8069392842049606
29457,40,49788,RENT,1.0,DEBTCONSOLIDATION,A,1500,9.32,0.03,N,16,0,0.07686256132637566
27580,33,18720,OWN,0.0,DEBTCONSOLIDATION,C,3500,13.16,0.19,Y,6,1,0.08484162039946046
21955,35,165996,RENT,1.0,DEBTCONSOLIDATION,A,6000,5.42,0.04,N,10,0,0.04937622505235647
30688,37,61000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,10000,13.57,0.16,N,15,0,0.13829534973835922
15834,24,190000,MORTGAGE,6.0,PERSONAL,A,5000,5.42,0.03,N,2,0,0.011454995043252451
21207,32,96000,RENT,1.0,PERSONAL,B,5000,11.99,0.05,N,9,0,0.058499868108924616
32192,38,55000,RENT,2.0,PERSONAL,B,14000,11.48,0.25,N,14,0,0.22872288687634143
16256,22,41000,OWN,0.0,PERSONAL,A,1000,6.99,0.02,N,2,0,0.00322501715359927
12658,23,62000,RENT,8.0,DEBTCONSOLIDATION,A,12000,5.79,0.19,N,2,0,0.1415307410715123
3396,26,53004,RENT,10.0,HOMEIMPROVEMENT,A,11000,5.79,0.21,N,4,0,0.19288662045737576
21117,27,63000,RENT,11.0,DEBTCONSOLIDATION,B,5000,10.0,0.08,N,5,0,0.11198197916818499
31289,47,85000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5500,6.76,0.06,N,12,0,0.027270445504883337
6392,24,37920,RENT,4.0,DEBTCONSOLIDATION,A,6000,6.99,0.16,N,3,0,0.18926122793501965
6260,23,30000,RENT,7.0,PERSONAL,C,6000,14.72,0.2,Y,4,0,0.337042629058822
109,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,0.23,Y,4,1,0.14142036323458312
11036,23,42000,RENT,1.0,MEDICAL,A,4100,7.88,0.1,N,2,0,0.10737781540427346
17682,23,58000,RENT,4.0,EDUCATION,B,8000,10.37,0.14,N,2,0,0.08600138303565268
20810,32,45000,RENT,1.0,DEBTCONSOLIDATION,B,5000,10.36,0.11,N,5,0,0.1740331987860175
5390,25,69000,RENT,5.0,HOMEIMPROVEMENT,A,8500,6.92,0.12,N,4,1,0.10219949756376706
888,22,12240,RENT,1.0,PERSONAL,D,1000,14.96,0.08,Y,3,1,0.6031405148593711
17348,21,70553,MORTGAGE,2.0,MEDICAL,D,10000,15.28,0.12,N,3,1,0.436791087153883
8640,24,28800,RENT,5.0,MEDICAL,A,8000,,0.28,N,2,0,0.4967180181050367
2403,23,61000,RENT,3.0,DEBTCONSOLIDATION,A,2500,7.49,0.04,N,3,0,0.07065709504259096
10305,22,66396,MORTGAGE,6.0,EDUCATION,C,15000,13.48,0.23,N,2,0,0.09090313822113921
20496,29,40500,MORTGAGE,0.0,EDUCATION,A,6000,8.38,0.15,N,8,0,0.04128131291026659
30037,37,50000,RENT,0.0,DEBTCONSOLIDATION,B,5000,11.89,0.1,N,12,0,0.17429286161633367
25292,31,60000,RENT,2.0,PERSONAL,C,12000,13.98,0.2,N,5,0,0.2238489428110294
19303,31,50000,RENT,5.0,HOMEIMPROVEMENT,E,2500,17.04,0.05,Y,10,0,0.7186576916413964
23096,30,60000,MORTGAGE,12.0,DEBTCONSOLIDATION,B,9600,9.99,0.16,N,10,0,0.08735453484701154
1076,22,65000,RENT,6.0,DEBTCONSOLIDATION,B,17700,11.49,0.27,N,2,0,0.32697631021131607
5447,24,58000,RENT,5.0,MEDICAL,A,5000,7.49,0.09,N,2,0,0.08241433710893345
11377,25,74000,MORTGAGE,1.0,EDUCATION,A,10000,,0.14,N,3,0,0.03006722049628485
25599,32,87000,MORTGAGE,8.0,MEDICAL,B,24800,12.53,0.29,N,5,0,0.10211188786568555
23531,35,35000,RENT,10.0,PERSONAL,D,8600,15.99,0.25,N,5,0,0.8613955040513236
14556,23,28872,OWN,7.0,VENTURE,B,2000,10.37,0.07,N,3,0,0.004600695696108448
21129,34,65004,RENT,8.0,HOMEIMPROVEMENT,B,5000,10.59,0.08,N,9,0,0.12444225888899324
30551,44,43000,RENT,3.0,DEBTCONSOLIDATION,B,7800,,0.18,N,13,0,0.28059804353175316
3440,24,43680,RENT,1.0,VENTURE,A,10800,5.42,0.25,N,2,0,0.12055646871471645
22704,30,57000,RENT,4.0,VENTURE,C,7500,14.27,0.13,N,5,0,0.09965785694509882
2275,21,42000,RENT,5.0,EDUCATION,D,13000,15.31,0.31,N,3,1,0.8779801060896361
923,22,36500,RENT,0.0,VENTURE,A,18725,6.54,0.51,N,3,1,0.665772662238554
27750,27,105000,RENT,1.0,HOMEIMPROVEMENT,B,16000,,0.15,N,8,0,0.12056363595525332
14021,22,100000,MORTGAGE,7.0,PERSONAL,A,6000,8.49,0.06,N,2,0,0.016802082008898947
15174,25,125000,MORTGAGE,3.0,VENTURE,A,10000,5.99,0.08,N,3,0,0.007852190206543132
7457,23,70000,RENT,8.0,DEBTCONSOLIDATION,A,6725,6.62,0.1,N,2,0,0.08650183059242028
5444,24,57692,RENT,2.0,HOMEIMPROVEMENT,C,5000,13.23,0.09,Y,3,0,0.20667954513511025
13520,26,93000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,6000,10.99,0.06,N,3,0,0.04149446950282029
1908,24,40000,RENT,2.0,PERSONAL,B,2000,11.99,0.05,N,4,0,0.07355353931145181
6511,26,45000,RENT,3.0,EDUCATION,A,6000,5.79,0.13,N,2,0,0.05663704757963409
14880,22,26232,OWN,,MEDICAL,A,6000,6.03,0.23,N,2,0,0.03903125442872743
2589,24,35256,RENT,2.0,DEBTCONSOLIDATION,B,3000,10.74,0.09,N,2,0,0.1701111232171924
25050,28,80000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,4400,,0.06,N,5,0,0.052792235225500195
28148,31,140000,MORTGAGE,15.0,VENTURE,A,12000,7.88,0.09,N,7,0,0.0071303925454994695
17306,23,37344,MORTGAGE,0.0,EDUCATION,C,3200,12.68,0.09,N,4,0,0.051590795007654316
30553,37,52200,MORTGAGE,2.0,DEBTCONSOLIDATION,E,16000,15.25,0.31,N,11,1,0.8793857624879916
30394,43,35000,RENT,,PERSONAL,A,6400,8.9,0.18,N,14,0,0.14500932592014992
9331,24,62000,RENT,3.0,VENTURE,B,8000,11.14,0.13,N,4,0,0.06487648468247575
5485,22,54000,RENT,1.0,DEBTCONSOLIDATION,A,5000,6.54,0.09,N,3,1,0.09698458776021215
17959,30,225000,RENT,2.0,MEDICAL,B,25000,12.42,0.11,N,10,0,0.030696324468219974
28532,27,90000,RENT,4.0,VENTURE,A,10000,7.49,0.11,N,9,0,0.02764935652897828
16603,22,18000,RENT,0.0,PERSONAL,B,3600,,0.2,N,2,1,0.3088351872294932
31756,43,138000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,9900,6.99,0.07,N,14,0,0.023322824772543937
6740,25,62000,RENT,2.0,VENTURE,A,6000,,0.1,N,3,0,0.04598312757957669
23497,30,57996,RENT,2.0,DEBTCONSOLIDATION,C,8400,12.98,0.14,Y,8,0,0.24547878953020313
12812,22,85000,MORTGAGE,4.0,VENTURE,A,7000,6.91,0.08,N,3,0,0.010873243560706418
12802,24,85000,MORTGAGE,2.0,PERSONAL,B,9600,10.37,0.11,N,4,0,0.031345035627702245
3407,24,65000,RENT,5.0,HOMEIMPROVEMENT,A,11000,7.51,0.17,N,4,0,0.14958519612721138
29518,41,32496,RENT,4.0,EDUCATION,B,2000,10.99,0.06,N,12,1,0.05662598080135945
26291,31,100000,MORTGAGE,2.0,MEDICAL,A,5000,5.42,0.05,N,8,0,0.02132246182742245
18084,29,180000,MORTGAGE,2.0,PERSONAL,E,31000,19.42,0.17,Y,8,0,0.16735170153737203
13713,25,75000,RENT,4.0,DEBTCONSOLIDATION,B,13000,11.48,0.17,N,4,0,0.18152765243335492
3036,24,65004,RENT,0.0,HOMEIMPROVEMENT,B,3200,9.99,0.05,N,4,0,0.11259060286050365
2449,26,30000,RENT,,VENTURE,C,2800,14.65,0.09,Y,3,0,0.09371342625569978
28179,28,51000,OWN,2.0,MEDICAL,E,20400,17.74,0.4,Y,6,1,0.7514475636464872
18557,31,50000,RENT,2.0,MEDICAL,C,18000,13.48,0.36,Y,9,1,0.6436597507560758
31723,38,126000,MORTGAGE,3.0,EDUCATION,D,2400,,0.02,Y,14,0,0.1421704826002543
21487,33,22356,RENT,2.0,MEDICAL,A,6000,7.9,0.27,N,8,0,0.46340299705409704
25567,32,86400,MORTGAGE,16.0,MEDICAL,A,8000,6.03,0.09,N,10,0,0.022305520622185854
12556,24,82800,MORTGAGE,0.0,VENTURE,B,12500,,0.15,N,3,0,0.025320947873432947
23529,27,30000,RENT,2.0,EDUCATION,A,8600,7.51,0.29,N,8,0,0.2989309514656234
9465,23,62000,MORTGAGE,7.0,VENTURE,A,11200,7.88,0.18,N,4,0,0.02554501148089559
27736,31,179000,MORTGAGE,13.0,MEDICAL,C,11200,14.27,0.06,N,5,0,0.033907482626859324
3949,25,48000,RENT,0.0,VENTURE,A,4000,7.29,0.08,N,4,0,0.03407805190819494
24788,27,77976,RENT,2.0,VENTURE,C,10000,13.85,0.13,Y,5,1,0.0781347012687216
25987,32,75000,RENT,3.0,VENTURE,D,12800,14.74,0.17,Y,9,0,0.4671791992290145
8825,25,41579,RENT,9.0,VENTURE,C,8000,13.92,0.19,Y,3,0,0.1670765660784773
31743,40,132000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,7500,7.29,0.06,N,15,0,0.025947110018758737
19885,33,64000,RENT,14.0,VENTURE,E,11000,15.68,0.17,Y,5,1,0.5506602591414327
32264,43,51600,RENT,,VENTURE,B,1500,11.86,0.03,N,12,0,0.034767555102789095
4954,25,35280,RENT,0.0,HOMEIMPROVEMENT,D,5000,14.96,0.14,N,3,1,0.823302292320358
14198,21,36500,RENT,1.0,PERSONAL,D,14400,15.05,0.39,N,4,1,0.9594276698710191
